id	name	515$A	515$0	515$a	515$z	350$0	350$a	340$x
cnp02179671	Veronika ### von Binasco	Binasco ### Mailand ### 	brth ### deat ### 			acti ### acti ### acti ### 	Mystikerin ### Ordensschwester ### Personen zu Kirchengeschichte, Systematischer und Praktischer Theologie, Kirche und Konfession (3.6p) ### 	340 01$8ger$a1445-1497$xa1445a1497 ### 
cnp01279147	Lindemann ### Johann Gottfried Ludewig ### 	Helmstedt ### Braunschweig ### 	actv ### brth ### 	cnl00009997 ### cnl00029873 ### 		acti ### irsp ### 	Arzt ### Medizin (in Helmstedt) ### 	340 11$8ger$a1753-1757$xa1753a1757 ### 
cnp01342860	Hardy ### Thomas Duffus ### 	Londres ### Port Royal (Jamaïque) ### 	deat ### brth ### 	cnl00026812 ### 	1878 ### 1804 ### 	lang ### irsp ### 	English ### Auteur ### 	340 01$8ger$a1804-1878$xa1804a1878 ### 340 01$8fre$a22.05.1804-15.06.1878$xa1804a1878 ### 340 01$8ger$a1804-1879$xa1804a1879 ### 
cnp02127529	Köhler ### Basilius ### 	Altenberg ### Dippoldiswalde ### Freiberg ### Roßwein ### 	actv ### actv ### actv ### brth ### 	cnl00006795 ### cnl00030628 ### cnl00009244 ### 		acti ### acti ### 	Gymnasiallehrer ### Pfarrer ### 	340 01$8ger$a1523-1582$xa1523a1582 ### 
cnp02241174	Lapasse ### Louis Charles Edouard ### de ### 	Neapel ### Toulouse ### Lussan ### 	actv ### brth ### deat ### 	cnl00008073 ### cnl00006321 ### cnl00022964 ### 		acti ### acti ### 	Diplomat ### Visconte ### 	340 01$8ger$a21.01.1792-07.10.1867$xa1792a1867 ### 340 11$8ger$aca. vor 1845$xa1845u     ### 
cnp00474734	Dedekind ### Henning ### 	Niedertopfstedt ### Wundersleben ### 	actv ### brth ### 			acti ### 	Pfarrer ### 	340 11$8ger$a1668-1694$xa1668a1694 ### 
cnp00291837	Kolbe ### Johann Carl ### 	Leipzig ### 	actv ### 	cnl00016122 ### 	1716-1724 ### 			340 11$8ger$a1716-1724$xa1716a1724 ### 
cnp01283881	Arnim ### Ilse ### von ### 	Mürow ### Niederlandin ### 	brth ### deat ### 					340 01$8ger$aXX.XX.1584-03.04.1603$xa1584a1603 ### 
cnp02338402	Mutsaerts ### Dionysius ### 	Tilburg ### Antwerpen ### 	brth ### deat ### 	cnl00014656 ### cnl00029116 ### 		acti ### acti ### 	Kirchenhistoriker ### Propst ### 	340 01$8ger$aXX.XX.15XX-19.11.1635$xa1500a1635 ### 
cnp02169132	Johansen ### Gerhard ### 	Mümmel ### Königsberg ### Hamburg ### 	actv ### actv ### brth ### 			acti ### 	Bürgermeister ### 	340 01$8ger$a1577-1643$xa1577a1643 ### 
cnp02132669	Pöppelmann ### Henrich Bernhard ### 	Lippstadt ### 	deat ### 	cnl00011242 ### 		acti ### 	Kind ### 	340 01$8ger$a1707-1714$xa1707a1714 ### 
